ID,Category,Latitude,Longitude
1496,,44.8484879,11.9749699
1497,,44.848304,11.9749764
1498,,44.8481021,11.9749847
1499,,44.8479202,11.9749833
1500,,44.8477318,11.9749853
1501,,44.8475351,11.9749928
1502,,44.8474214,11.9746487
1503,,44.8474974,11.9746054
1504,,44.8476903,11.9746089
1505,,44.8478739,11.9746032
1506,,44.8482679,11.9746041
1507,,44.8484606,11.9745958
1508,,44.8486564,11.9745911
1509,,44.848851,11.9745877
1510,,44.8490644,11.9745882
1511,,44.8490553,11.9746752
1512,,44.8488668,11.9746764
1513,,44.8486557,11.9746801
1514,,44.848253,11.9746913
1515,,44.8480585,11.97469
1516,,44.8478641,11.9746965
1517,,44.8476537,11.974705
1518,,44.8474561,11.9747032
1519,,44.8476545,11.9743048
1520,,44.8478783,11.9742981
1521,,44.8481027,11.9742981
1522,,44.8483235,11.9742979
1523,,44.8488363,11.9742891
1524,,44.8490538,11.9742922
1525,,44.8490144,11.9753722
1526,,44.848821,11.9753658
1527,,44.8486297,11.9753832
1528,,44.8484292,11.9754133
1529,,44.848233,11.9754252
1530,,44.8480244,11.9754289
1531,,44.8478359,11.9754343
1532,,44.8476394,11.9754363
1533,,44.8474327,11.9754375
1534,,44.8474331,11.975226
1535,,44.8474526,11.9751164
1536,,44.8476353,11.9751095
1537,,44.8478341,11.9751022
1538,,44.8480355,11.9750944
1539,,44.8482509,11.9750946
1540,,44.8484504,11.9750928
1541,,44.8486553,11.9750807
1542,,44.8488662,11.975074
1543,,44.8490698,11.9750793
1544,,44.8489693,11.9748712
1545,,44.8487771,11.9748686
1546,,44.8485873,11.974873
1547,,44.8483341,11.9748788
1548,,44.8481393,11.9748857
1549,,44.8479264,11.9748921
1550,,44.847718,11.9748989
1551,,44.8475017,11.9749012
1552,,44.8475541,11.9747746
1553,,44.8477497,11.9747703
1554,,44.8479439,11.9747644
1555,,44.8481507,11.9747655
1556,,44.8484067,11.9747543
1557,,44.8485604,11.9747492
1558,,44.8487433,11.9747422
1559,,44.848935,11.9747379
1560,,44.8489998,11.9748159
1561,,44.8487782,11.9748199
1562,,44.8485445,11.9748227
1563,,44.8483234,11.974828
1564,,44.8480369,11.9748283
1565,,44.8478303,11.9748308
1566,,44.847602,11.9748475
1567,,44.8474485,11.9751886
1568,,44.8476369,11.9751903
1569,,44.8478174,11.9751894
1570,,44.8479971,11.9751886
1571,,44.8481957,11.9751862
1572,,44.8483798,11.9751871
1573,,44.8485691,11.9751727
1574,,44.8487663,11.975163
1575,,44.8489489,11.9751614
1576,,44.8489234,11.9753002
1577,,44.848723,11.9753137
1578,,44.8485416,11.9753174
1579,,44.8483532,11.9753281
