ID,Category,Latitude,Longitude
246,,44.8506623,11.9662001
247,,44.8504837,11.9662
248,,44.8503053,11.9662084
249,,44.8501186,11.9662134
250,,44.8499401,11.9662232
251,,44.8497613,11.9662315
252,,44.8495224,11.966238
253,,44.8493757,11.9662413
254,,44.8491997,11.9662434
255,,44.8490207,11.9662509
256,,44.8488409,11.9662508
257,,44.8486502,11.9662598
258,,44.8484801,11.9662613
259,,44.8482903,11.966265
260,,44.8481102,11.966267
261,,44.847933,11.9662656
262,,44.847739,11.9662637
263,,44.8475564,11.9662732
264,,44.8474619,11.966358
265,,44.8476131,11.9663488
266,,44.8477609,11.9663517
267,,44.8479112,11.96635
268,,44.8480772,11.9663513
269,,44.8482319,11.9663539
270,,44.8483931,11.9663514
271,,44.8485617,11.966348
272,,44.8487178,11.9663428
273,,44.8489534,11.9663331
274,,44.8491338,11.9663285
275,,44.8492211,11.9662388
276,,44.8506038,11.9662822
277,,44.8504001,11.966292
278,,44.8501929,11.9662976
279,,44.8499737,11.966311
280,,44.8497627,11.96632
281,,44.8495407,11.9663257
282,,44.8493334,11.9663272
283,,44.8480604,11.966445
284,,44.8478508,11.9664463
285,,44.8476323,11.9664451
286,,44.8474525,11.9664463
287,,44.8490914,11.966466
288,,44.8492903,11.966447
289,,44.8503399,11.9664102
290,,44.8505476,11.9664057
291,,44.8506861,11.9666278
292,,44.8504689,11.9666319
293,,44.8502373,11.9666346
294,,44.8500256,11.9666365
295,,44.8497957,11.9666479
296,,44.8495777,11.9666492
297,,44.8493556,11.9666498
298,,44.8491254,11.9666565
299,,44.8489109,11.9666615
300,,44.8487108,11.9666606
301,,44.8485012,11.9666667
302,,44.8483112,11.9666703
303,,44.8481216,11.9666834
304,,44.8479138,11.9666902
305,,44.8477102,11.9666889
306,,44.8475135,11.9666908
307,,44.8474215,11.9667115
308,,44.8475315,11.9670039
309,,44.8476998,11.9670069
310,,44.847875,11.9669993
311,,44.8480488,11.9669955
312,,44.8482267,11.9669889
313,,44.8484103,11.9669833
314,,44.8485806,11.9669824
315,,44.8487694,11.9669777
316,,44.8489482,11.9669643
317,,44.8491269,11.9669581
318,,44.8493083,11.9669482
319,,44.8494866,11.9669428
320,,44.8496861,11.9669461
321,,44.8498957,11.9669411
322,,44.8501066,11.9669343
323,,44.8503191,11.9669328
324,,44.850544,11.9669309
325,,44.8506862,11.966715
326,,44.8504589,11.9667178
327,,44.8502487,11.9667248
328,,44.8500273,11.9667303
329,,44.8498181,11.9667354
330,,44.8496086,11.966738
331,,44.8493887,11.966743
332,,44.8491804,11.9667435
333,,44.8489718,11.9667457
334,,44.8487458,11.9667505
335,,44.8485422,11.9667551
336,,44.8483342,11.9667638
337,,44.8481182,11.9667771
338,,44.8479178,11.9667806
339,,44.8477254,11.9667889
340,,44.8475536,11.9667871
341,,44.847403,11.966926
342,,44.8475789,11.9669195
343,,44.847781,11.9669259
344,,44.8479588,11.9669193
345,,44.8481547,11.966913
346,,44.8483517,11.9669026
347,,44.8485499,11.9668976
348,,44.8487285,11.966889
349,,44.848931,11.9668848
350,,44.8491246,11.9668924
351,,44.8493081,11.9668768
